PATTERSON,205423,67.27,26.8,0.47,0.68,2.35,2.43
ALEXANDER,204621,58.19,34.04,1.24,0.7,2.66,3.17
HAMILTON,201746,70.21,23.71,0.54,0.8,2.29,2.45
GRAHAM,201159,70.02,23.99,0.51,0.8,2.13,2.55
REYNOLDS,200247,81.08,13.21,0.52,0.71,2.02,2.45
GRIFFIN,198406,63.77,30.81,0.44,0.47,2.28,2.21
WALLACE,197276,69.24,24.7,0.51,0.77,2.31,2.47
MORENO,196925,6.09,0.43,0.67,0.37,0.22,92.23
WEST,195818,75.48,18.48,0.49,0.83,2.27,2.45
COLE,195289,75.33,18.89,0.55,0.72,2.1,2.41
HAYES,194246,69.38,24.69,0.49,0.81,2.34,2.29
BRYANT,192773,58.46,35.58,0.39,0.89,2.47,2.21
HERRERA,192711,4.92,0.36,0.96,0.51,0.22,93.03
GIBSON,190667,72.14,21.78,0.46,0.97,2.34,2.31
ELLIS,188968,70.36,23.47,0.54,0.66,2.24,2.73
TRAN,188498,1.35,0.1,96,0.03,1.7,0.81
MEDINA,188497,5.69,0.6,1.92,0.3,0.33,91.16
AGUILAR,186512,4.03,0.26,1.64,0.52,0.23,93.32
STEVENS,185674,81.44,11.82,0.64,1.33,2.04,2.74
MURRAY,184910,74.92,19.29,0.57,0.6,2.02,2.6
FORD,184832,62.05,32,0.45,0.61,2.52,2.37
CASTRO,184134,7.29,0.66,3.74,0.24,0.64,87.42
MARSHALL,183922,66.03,27.51,0.58,0.96,2.34,2.58
OWENS,182719,65.85,28.41,0.36,0.75,2.47,2.17
HARRISON,181091,68.66,24.45,0.52,1.39,2.27,2.7
FERNANDEZ,180842,8.77,1.15,5.38,0.18,0.93,83.58
MCDONALD,180497,76.65,17.28,0.55,0.78,2.01,2.73
WOODS,177425,58.3,35.3,0.42,0.88,2.74,2.35
WASHINGTON,177386,5.17,87.53,0.3,0.68,3.78,2.54
KENNEDY,176865,80.82,13.63,0.62,0.61,1.87,2.45
WELLS,176230,74,20,0.49,0.87,2.22,2.41
VARGAS,173835,5.41,0.42,0.85,0.18,0.22,92.92
HENRY,170964,61.43,30.68,0.84,1.87,2.34,2.84
CHEN,169580,1.4,0.3,96.12,0.02,1.64,0.52
FREEMAN,169149,65.5,28.34,0.52,0.95,2.38,2.3
WEBB,168878,75.53,19.08,0.46,0.66,1.99,2.29
TUCKER,167446,70.01,24.17,0.45,0.78,2.25,2.35
