Frederick,2385,89.487,6.675,2.67,0.083,0.167,0.918
Holly,3,97.382,0.507,1.394,0.042,0.084,0.591
Harold,2340,88.846,6.966,1.538,0.299,0.128,2.222
Ashley,12,93.699,3.601,0.986,0.086,0,1.629
Julia,17,84.981,3.28,2.805,0.259,0.173,8.502
Renee,40,91.282,4.791,1.64,0.086,0.259,1.942
Megan,4,98.301,0.479,0.436,0,0.044,0.74
Lauren,10,96.238,1.4,0.962,0.175,0.262,0.962
Howard,2259,89.154,5.755,4.338,0.089,0.089,0.575
Alexander,2216,81.531,2.759,6.631,0.134,0.267,8.678
Stacy,190,94.482,2.333,1.525,0.269,0.269,1.122
Eugene,2175,84.651,6.67,5.71,0.046,0.183,2.741
Dean,2161,94.986,0.782,3.404,0.046,0.138,0.644
Melanie,10,92.343,2.814,2.26,0.185,0.092,2.306
Rodney,2142,86.192,9.437,2.278,0.232,0.232,1.627
Stacey,158,93.648,3.27,1.121,0.14,0.234,1.588
Gina,7,90.301,2.542,3.202,0.094,0.047,3.814
Francis,1804,88.269,3.075,6.197,0.095,0.095,2.271
Brent,2099,97.249,0.996,0.712,0.19,0.047,0.806
Roy,2099,85.136,5.622,5.431,0.238,0.095,3.478
Danielle,10,93.064,4.383,0.385,0.241,0,1.927
Stanley,2017,84.843,7.037,6.644,0.049,0.295,1.132
Frances,31,83.81,5.726,2.962,0.247,0.296,6.96
Anita,18,76.835,7.738,8.288,0.399,0.1,6.64
Manuel,1979,17.863,0.903,4.315,0.251,0.1,76.568
Jeffery,1969,94.346,3.584,1.212,0.202,0.05,0.606
Sally,21,93.889,0.707,2.778,0.253,0.051,2.323
Jesse,1901,79.089,6.177,2.228,0.152,0.152,12.203
Antonio,1952,31.603,5.242,6.616,0,0.204,56.336
Jacob,1956,91.845,1.631,3.211,0.153,0.153,3.007
Jorge,1938,8.696,0.153,1.125,0,0,90.026
Brett,1916,98.36,0.871,0.256,0.103,0.051,0.359
Danny,1933,79.774,3.542,10.318,0.257,0.308,5.801
Curtis,1914,85.774,10.903,2.129,0.104,0.519,0.571
Jeff,1924,95.218,0.572,3.067,0.156,0.104,0.884
Allen,1899,88.755,4.498,5.178,0.052,0.471,1.046
Derek,1906,90.424,4.082,4.396,0.209,0.105,0.785
Travis,1902,94.235,3.564,0.996,0.419,0.052,0.734
Troy,1882,92.381,5.556,1.058,0.106,0.053,0.847
Francisco,1863,8.652,0.159,3.291,0,0,87.898
Jesus,1843,3.904,0,2.781,0.16,0,93.155
Leonard,1857,87.291,7.001,2.1,0.108,0.269,3.231
Harry,1839,88.309,4.84,4.568,0.272,0.163,1.849
Tiffany,6,82.433,10.202,5.292,0.327,0.327,1.418
Tara,8,94.365,3.228,1.313,0.055,0.109,0.93
Terri,77,93.884,3.085,1.543,0.165,0.11,1.212
Joe,1790,69.013,6.874,5.155,0.222,0.166,18.57
Allison,5,95.378,1.917,1.917,0,0.169,0.62
Fred,1773,87.874,4.738,3.046,0.169,0.282,3.892
Miguel,1750,6.165,0.566,1.131,0.113,0,92.025
Tamara,11,93.001,4.418,0.574,0.115,0.172,1.721
Theodore,1742,89.782,5.97,2.526,0.23,0.172,1.32
Alicia,6,66.667,5.934,2.734,0.116,0.175,24.375
Mario,1702,31.334,2.563,3.844,0.058,0.058,62.143
Norman,1695,88.791,5.133,4.366,0.177,0.118,1.416
Tony,1672,63.002,8.57,21.099,0.355,0.059,6.915
Carmen,109,41.099,5.018,2.688,0.06,0.119,51.016
Erik,1669,92.533,1.314,1.016,0.119,0,5.018
Kurt,1674,97.909,0.956,0.777,0,0.119,0.239
April,4,88.448,6.739,1.685,0.301,0.12,2.708
Ana,24,23.43,0.906,2.295,0,0.121,73.249
Carla,10,86.366,7.912,0.426,0.061,0.243,4.991
Natalie,7,89.747,4.367,1.203,0.316,0.19,4.177
Claudia,22,64.054,3.697,1.02,0.191,0.255,30.784
Jaime,967,44.971,0.448,4.933,0.128,0.192,49.327
Amber,4,95.055,1.991,0.771,0.193,0.128,1.863
Greg,1551,94.907,1.483,2.063,0.064,0.129,1.354
Veronica,6,46.667,10.2,2.8,0.2,0,40.133
Norma,23,55.884,6.052,3.497,0.269,0.269,34.028
Edwin,1466,67.41,4.665,7.978,0.068,0.203,19.675
Neil,1468,94.783,1.016,2.778,0.136,0.136,1.152
Christian,1306,85.064,1.833,1.969,0.068,0.272,10.794
Roberta,62,92.471,3.217,0.958,0.205,0.068,3.08
Crystal,5,82.32,10.014,2.072,0.138,0.414,5.041
Rosa,19,20.236,4.435,2.287,0.139,0,72.904
Brad,1434,97.908,0.976,0.349,0.418,0,0.349
Regina,8,78.312,12.762,2.441,0.209,0.209,6.067
Karl,1411,93.737,2.815,2.604,0.07,0.07,0.704
Sylvia,8,58.169,12.113,5.282,0.352,0.07,24.014
Erica,7,80.057,8.699,1.627,0.212,0.071,9.335
Alison,7,96.294,1.283,1.568,0,0.071,0.784
Kerry,585,95.487,2.436,1.074,0.143,0.072,0.788
Ernest,1390,75.252,11.871,3.094,0.288,0.216,9.281
Deanna,5,91.957,3.623,1.667,0.29,0.217,2.246
Evelyn,14,66.497,11.313,7.832,0.218,0.435,13.706
Gordon,1379,92.966,1.668,4.423,0.363,0.145,0.435
Alex,1323,64.406,3.136,12.983,0.219,0.292,18.964
Rick,1371,93.144,0.729,2.845,0.292,0.219,2.772
Joy,32,86.564,6.241,5.727,0,0.147,1.322
Jimmy,1339,67.456,6.879,16.79,0.518,0.148,8.21
Dan,1337,87.21,1.122,9.648,0.224,0,1.795
Jan,979,97.008,0.598,1.795,0.075,0.15,0.374
Shane,1308,97.059,0.754,1.207,0.075,0.151,0.754
Lois,104,92.755,5.283,1.208,0.075,0.151,0.528
Jodi,15,97.108,0.304,1.522,0.152,0.152,0.761
Rosemary,13,86.478,4.202,2.215,0.229,0,6.875
Yvonne,9,65.278,18.364,5.247,0.54,0.386,10.185
Mitchell,1284,93.338,2.943,1.704,0.232,0.232,1.549
Glen,1283,94.154,1.325,3.741,0,0.078,0.701
Billy,1259,84.301,7.849,4.003,0.392,0.471,2.983
Caroline,5,89.482,2.869,4.303,0.159,0.239,2.948
Lance,1250,93.222,2.073,2.951,0.399,0.159,1.196
Don,1253,87.63,3.831,7.422,0.239,0.08,0.798
